id,nombre,zona,fecha_corte,fecha_fin,duracion_horas,duracion_horas_num,pidio_almacenar,fuente,fuente_url,confianza,lat,lon,origen_lista
modelo,Modelo,Norte/Centro/Sur,2021-06-26,2021-06-27,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/22-horas-sin-agua-estaran-sectores-del-centro-sur-y-norte-de-guayaquil-este-sabado-26-y-domingo-27-de-junio-nota/,B,,,sectores_ejemplo
febres-cordero,Febres Cordero,Norte/Centro/Sur,2021-06-26,2021-06-27,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/22-horas-sin-agua-estaran-sectores-del-centro-sur-y-norte-de-guayaquil-este-sabado-26-y-domingo-27-de-junio-nota/,B,,,sectores_ejemplo
letamendi,Letamendi,Norte/Centro/Sur,2021-06-26,2021-06-27,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/22-horas-sin-agua-estaran-sectores-del-centro-sur-y-norte-de-guayaquil-este-sabado-26-y-domingo-27-de-junio-nota/,B,,,sectores_ejemplo
km14-5-71-via-costa,km14.5-71 via costa,Norte/Centro/Sur,2021-06-26,2021-06-27,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/22-horas-sin-agua-estaran-sectores-del-centro-sur-y-norte-de-guayaquil-este-sabado-26-y-domingo-27-de-junio-nota/,B,,,sectores_ejemplo
isla-trinitaria,isla Trinitaria,Sur,2021-10-05,2021-10-06,23,23,si,Primicias,https://www.primicias.ec/noticias/sociedad/corte-servicio-agua-guayaquil-ecuador/,B,,,sectores_ejemplo
malvinas,Malvinas,Sur,2021-10-05,2021-10-06,23,23,si,Primicias,https://www.primicias.ec/noticias/sociedad/corte-servicio-agua-guayaquil-ecuador/,B,,,sectores_ejemplo
fertisa,Fertisa,Sur,2021-10-05,2021-10-06,23,23,si,Primicias,https://www.primicias.ec/noticias/sociedad/corte-servicio-agua-guayaquil-ecuador/,B,,,sectores_ejemplo
letamendi,Letamendi,Norte/Centro/Sur,2021-10-05,2021-10-06,23,23,si,Primicias,https://www.primicias.ec/noticias/sociedad/corte-servicio-agua-guayaquil-ecuador/,B,,,sectores_ejemplo
colina-de-la-prosperina,Colina de la Prosperina,Norte/Centro/Sur,2021-11-07,2021-11-08,20,20,si,Expreso,https://www.expreso.ec/guayaquil/quedara-agua-20-horas-114938.html,B,,,sectores_ejemplo
socio-vivienda,Socio Vivienda,Norte/Centro/Sur,2021-11-07,2021-11-08,20,20,si,Expreso,https://www.expreso.ec/guayaquil/quedara-agua-20-horas-114938.html,B,,,sectores_ejemplo
mucho-lote-2,Mucho Lote 2,Norte/Centro/Sur,2021-11-07,2021-11-08,20,20,si,Expreso,https://www.expreso.ec/guayaquil/quedara-agua-20-horas-114938.html,B,,,sectores_ejemplo
los-ceibos,Los Ceibos,Norte/Centro/Sur,2021-11-07,2021-11-08,20,20,si,Expreso,https://www.expreso.ec/guayaquil/quedara-agua-20-horas-114938.html,B,,,sectores_ejemplo
pascuales,Pascuales,Norte,2021-11-27,2021-11-28,11-16,13.5,si,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B,,,sectores_ejemplo
los-manguitos,Los Manguitos,Norte,2021-11-27,2021-11-28,11-16,13.5,si,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B,,,sectores_ejemplo
huancavilca-norte,Huancavilca Norte,Norte,2021-11-27,2021-11-28,11-16,13.5,si,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B,,,sectores_ejemplo
los-vergeles,Los Vergeles,Norte,2021-11-27,2021-11-28,11-16,13.5,si,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B,,,sectores_ejemplo
el-trebol,El Trebol,Norte,2021-11-27,2021-11-28,11-16,13.5,si,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B,,,sectores_ejemplo
centenario,Centenario,Norte,2022-09-01,2022-09-02,21,21,si,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B,,,sectores_ejemplo
cuba,Cuba,Norte,2022-09-01,2022-09-02,21,21,si,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B,,,sectores_ejemplo
naval-sur,Naval Sur,Norte,2022-09-01,2022-09-02,21,21,si,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B,,,sectores_ejemplo
urdesa,Urdesa,Norte,2022-09-01,2022-09-02,21,21,si,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B,,,sectores_ejemplo
febres-cordero,Febres Cordero,Norte,2022-09-01,2022-09-02,21,21,si,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B,,,sectores_ejemplo
alban-borja,Alban Borja,Norte/Centro/Sur,2022-12-14,2022-12-15,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B,,,sectores_ejemplo
ucsg,UCSG,Norte/Centro/Sur,2022-12-14,2022-12-15,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B,,,sectores_ejemplo
san-eduardo,San Eduardo,Norte/Centro/Sur,2022-12-14,2022-12-15,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B,,,sectores_ejemplo
suburbio,Suburbio,Norte/Centro/Sur,2022-12-14,2022-12-15,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B,,,sectores_ejemplo
bellavista,Bellavista,Norte/Centro/Sur,2022-12-14,2022-12-15,22,22,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B,,,sectores_ejemplo
floresta-ii,Floresta II,Sur,2023-02-09,2023-02-12,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B,,,sectores_ejemplo
los-laureles,Los Laureles,Norte/Centro/Sur,2023-02-09,2023-02-12,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B,,,sectores_ejemplo
polaris,Polaris,Norte/Centro/Sur,2023-02-09,2023-02-12,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B,,,sectores_ejemplo
samanes-3,Samanes 3,Norte/Centro/Sur,2023-02-09,2023-02-12,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B,,,sectores_ejemplo
alborada-13-14,Alborada 13-14,Norte/Centro/Sur,2023-02-09,2023-02-12,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B,,,sectores_ejemplo
los-geranios-i,Los Geranios I,Norte/Centro/Sur,2023-02-14,2023-02-17,,,si,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B,,,sectores_ejemplo
las-orquideas,Las Orquideas,Norte/Centro/Sur,2023-02-14,2023-02-17,,,si,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B,,,sectores_ejemplo
bastion-bloques,Bastion bloques,Norte/Centro/Sur,2023-02-14,2023-02-17,,,si,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B,,,sectores_ejemplo
floresta-ii,Floresta II,Sur,2023-02-14,2023-02-17,,,si,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B,,,sectores_ejemplo
los-laureles,Los Laureles,Norte/Centro/Sur,2023-02-14,2023-02-17,,,si,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B,,,sectores_ejemplo
sauces-9,Sauces 9,Norte,2023-03-14,2023-03-15,,,si,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B,,,sectores_ejemplo
los-senderos,Los Senderos,Norte,2023-03-14,2023-03-15,,,si,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B,,,sectores_ejemplo
terra-nostra,Terra Nostra,Norte,2023-03-14,2023-03-15,,,si,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B,,,sectores_ejemplo
urdesa-central,Urdesa Central,Norte,2023-03-14,2023-03-15,,,si,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B,,,sectores_ejemplo
martha-de-roldos,Martha de Roldos,Norte,2023-03-14,2023-03-15,,,si,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B,,,sectores_ejemplo
sergio-toral,Sergio Toral,Norte/Centro/Sur,2023-04-04,2023-04-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B,,,sectores_ejemplo
girasoles,Girasoles,Norte/Centro/Sur,2023-04-04,2023-04-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B,,,sectores_ejemplo
nueva-prosperina,Nueva Prosperina,Norte/Centro/Sur,2023-04-04,2023-04-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B,,,sectores_ejemplo
punta-esmeralda,Punta Esmeralda,Norte/Centro/Sur,2023-04-04,2023-04-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B,,,sectores_ejemplo
sagrada-familia,Sagrada Familia,Norte/Centro/Sur,2023-04-04,2023-04-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B,,,sectores_ejemplo
kennedy-norte,Kennedy Norte,Norte/Centro/Sur,2023-04-24,2023-04-29,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-potable-guayaquil-del-24-al-27-de-abril-2023-emapag-nota/,B,,,sectores_ejemplo
modelo,Modelo,Norte/Centro/Sur,2023-04-24,2023-04-29,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-potable-guayaquil-del-24-al-27-de-abril-2023-emapag-nota/,B,,,sectores_ejemplo
flor-de-bastion,Flor de Bastion,Norte/Centro/Sur,2023-04-24,2023-04-29,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-potable-guayaquil-del-24-al-27-de-abril-2023-emapag-nota/,B,,,sectores_ejemplo
