semana_id,anio_epi,semana,fecha_inicio,fecha_fin,precipitacion_mm,precip_7d,precip_30d,precip_90d,spi3,spi6,spi12,tmin,tmax,tmean,humedad
1991-W02,1991,2,1991-01-07,1991-01-13,7.5,7.5,,,,,,23.157,29.743,25.686,76.571
1991-W03,1991,3,1991-01-14,1991-01-20,4.7,4.7,,,,,,22.886,30.914,26.157,70.857
1991-W04,1991,4,1991-01-21,1991-01-27,5.5,5.5,,,,,,22.9,30.529,25.943,71.0
1991-W05,1991,5,1991-01-28,1991-02-03,65.7,65.7,83.4,,,,,23.157,28.686,25.243,82.286
1991-W06,1991,6,1991-02-04,1991-02-10,91.1,91.1,167.0,,,,,23.771,28.929,25.543,84.714
1991-W07,1991,7,1991-02-11,1991-02-17,36.9,36.9,199.2,,,,,23.529,28.186,25.271,86.0
1991-W08,1991,8,1991-02-18,1991-02-24,43.8,43.8,237.5,,,,,23.286,28.271,25.071,86.429
1991-W09,1991,9,1991-02-25,1991-03-03,36.7,36.7,208.5,,,,,23.543,30.0,26.114,83.571
1991-W10,1991,10,1991-03-04,1991-03-10,12.1,12.1,129.5,,,,,24.286,30.086,26.614,81.714
1991-W11,1991,11,1991-03-11,1991-03-17,56.9,56.9,149.5,,,,,23.686,29.357,25.871,84.429
1991-W12,1991,12,1991-03-18,1991-03-24,71.4,71.4,177.1,,,,,23.814,28.671,25.7,85.714
1991-W13,1991,13,1991-03-25,1991-03-31,7.1,7.1,147.5,,,,,23.6,29.771,26.086,82.571
1991-W14,1991,14,1991-04-01,1991-04-07,27.8,27.8,163.2,467.2,-1.614,,,23.371,29.429,25.657,81.571
1991-W15,1991,15,1991-04-08,1991-04-14,32.7,32.7,139.0,492.4,-1.546,,,23.171,29.129,25.486,82.857
1991-W16,1991,16,1991-04-15,1991-04-21,36.4,36.4,104.0,524.1,-1.451,,,23.271,29.243,25.6,83.143
1991-W17,1991,17,1991-04-22,1991-04-28,62.7,62.7,159.6,581.3,-1.145,,,23.0,28.3,25.043,86.714
1991-W18,1991,18,1991-04-29,1991-05-05,15.0,15.0,146.8,530.6,-1.171,,,23.443,28.557,25.414,85.0
1991-W19,1991,19,1991-05-06,1991-05-12,28.9,28.9,143.0,468.4,-1.292,,,23.086,28.771,25.314,84.857
1991-W20,1991,20,1991-05-13,1991-05-19,48.0,48.0,154.6,479.5,-1.09,,,23.029,27.843,24.8,87.714
1991-W21,1991,21,1991-05-20,1991-05-26,5.1,5.1,97.0,440.8,-1.031,,,23.029,29.229,25.586,81.714
1991-W22,1991,22,1991-05-27,1991-06-02,34.5,34.5,116.5,438.6,-0.831,,,22.586,28.8,24.857,83.286
1991-W23,1991,23,1991-06-03,1991-06-09,1.0,1.0,88.6,427.5,-0.634,,,22.814,29.257,25.329,79.143
1991-W24,1991,24,1991-06-10,1991-06-16,4.2,4.2,44.8,374.8,-0.642,,,22.371,29.114,24.929,77.857
1991-W25,1991,25,1991-06-17,1991-06-23,32.4,32.4,72.1,335.8,-0.61,,,22.443,28.3,24.686,79.714
1991-W26,1991,26,1991-06-24,1991-06-30,52.3,52.3,89.9,381.0,-0.345,,,21.514,26.586,23.4,87.429
1991-W27,1991,27,1991-07-01,1991-07-07,14.8,14.8,103.7,368.0,-0.216,-1.159,,20.9,27.157,23.386,83.0
1991-W28,1991,28,1991-07-08,1991-07-14,26.2,26.2,125.7,361.5,-0.127,-1.073,,21.529,27.529,23.643,84.143
1991-W29,1991,29,1991-07-15,1991-07-21,16.0,16.0,109.3,341.1,0.01,-0.993,,20.957,28.1,23.614,80.571
1991-W30,1991,30,1991-07-22,1991-07-28,14.6,14.6,71.6,293.0,-0.005,-0.868,,21.014,27.971,23.4,80.429
1991-W31,1991,31,1991-07-29,1991-08-04,35.7,35.7,92.5,313.7,0.172,-0.801,,20.486,26.5,22.857,83.857
1991-W32,1991,32,1991-08-05,1991-08-11,15.8,15.8,82.1,300.6,0.244,-0.837,,20.786,26.586,22.943,84.286
1991-W33,1991,33,1991-08-12,1991-08-18,2.9,2.9,69.0,255.5,0.191,-0.779,,20.871,27.757,23.271,78.857
1991-W34,1991,34,1991-08-19,1991-08-25,3.2,3.2,57.6,253.6,0.257,-0.693,,20.314,28.243,22.957,77.143
