fecha_inicio,fecha_fin,anio,anio_epi,semana,semana_id,duracion_horas,duracion_horas_num,duracion_es_rango,duracion_incompleta,zona_ciudad,sectores_ejemplo,n_sectores_listados,motivo,tipo_corte,pidio_almacenar,almacenar,fuente,url,confianza
2021-06-26,2021-06-27,2021,2021,25,2021-W25,22,22.0,0,0,norte/centro/sur/via a la costa,Modelo;Febres Cordero;Letamendi;km14.5-71 via costa,4,Plan Neptuno: instalacion de caudalimetro acueducto 1800mm agua cruda planta La Toma,programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/22-horas-sin-agua-estaran-sectores-del-centro-sur-y-norte-de-guayaquil-este-sabado-26-y-domingo-27-de-junio-nota/,B
2021-10-05,2021-10-06,2021,2021,40,2021-W40,23,23.0,0,0,norte/centro/sur (70% ciudad) + Duran/Daule/Nobol/Samborondon,isla Trinitaria;Malvinas;Fertisa;Letamendi,4,Plan Neptuno fase 1: repotenciacion planta La Toma,programado,si,1.0,Primicias,https://www.primicias.ec/noticias/sociedad/corte-servicio-agua-guayaquil-ecuador/,B
2021-11-07,2021-11-08,2021,2021,44,2021-W44,20,20.0,0,0,norte/centro/sur,Colina de la Prosperina;Socio Vivienda;Mucho Lote 2;Los Ceibos,4,Plan Neptuno fase 1: mantenimiento abastecimiento electrico planta La Toma,programado,si,1.0,Expreso,https://www.expreso.ec/guayaquil/quedara-agua-20-horas-114938.html,B
2021-11-27,2021-11-28,2021,2021,47,2021-W47,11-16,13.5,1,0,norte,Pascuales;Los Manguitos;Huancavilca Norte;Los Vergeles;El Trebol,5,interconexiones y reparacion de fuga en red de agua potable,programado,si,1.0,Que Noticias,https://quenoticias.com/comunidad/interagua-corte-de-agua-27-noviembre-2021/,B
2022-09-01,2022-09-02,2022,2022,35,2022-W35,21,21.0,0,0,norte/centro,Centenario;Cuba;Naval Sur;Urdesa;Febres Cordero,5,instalacion de valvula reguladora de presiones en av. Delta,programado,si,1.0,Teleamazonas,https://www.teleamazonas.com/nuevo-corte-agua-sectores-guayaquil/,B
2022-11-14,2022-11-19,2022,2022,46,2022-W46,,,0,1,norte/centro/sur (90 sectores),90 sectores de la ciudad,1,tareas de mantenimiento (90 sectores),programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-suspendera-servicio-de-agua-potable-en-90-sectores-de-guayaquil-por-tareas-de-mantenimiento-nota/,B
2022-12-05,2022-12-10,2022,2022,49,2022-W49,,,0,1,norte/centro/sur (63 sectores),63 sectores de la ciudad,1,trabajos programados de mantenimiento (63 sectores),programado,si,1.0,Expreso,https://www.expreso.ec/guayaquil/aumentan-quejas-corte-agua-63-sectores-ciudad-143168.html,B
2022-12-14,2022-12-15,2022,2022,50,2022-W50,22,22.0,0,0,norte/centro/sur/via a la costa,Alban Borja;UCSG;San Eduardo;Suburbio;Bellavista,5,interconexion de nuevo booster en San Eduardo (mejora presion via a la costa),programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-de-guayaquil-que-se-quedaran-por-22-horas-sin-suministro-de-agua-potable-por-trabajos-que-ejecutara-interagua-nota/,B
2023-02-09,2023-02-12,2023,2023,6,2023-W06,,,0,1,norte/sur,Floresta II;Los Laureles;Polaris;Samanes 3;Alborada 13-14,5,"interconexion de red, instalacion de sifon/valvulas, reparacion de fuga",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-32-sectores-del-norte-y-sur-por-trabajos-programados-de-interagua-entre-el-9-y-12-de-febrero-nota/,B
2023-02-14,2023-02-17,2023,2023,7,2023-W07,,,0,1,norte/sur,Los Geranios I;Las Orquideas;Bastion bloques;Floresta II;Los Laureles,5,"interconexion en red, pruebas ZPT, reparacion de fuga",programado,si,1.0,Que Noticias,https://quenoticias.com/comunidad/corte-de-agua-norte-guayaquil-2/,B
