semana_id,anio_epi,semana,fecha_lunes,fecha_inicio,fecha_fin,casos_dengue,casos_unidad,casos_dengue_nacional,poblacion,corte_hn,n_eventos_corte,horas_corte,intensidad_corte,horas_corte_incompleta,almacenar,n_sectores,corte_reporte_confiable,precipitacion_mm,precip_7d,precip_30d,precip_90d,spi3,spi6,spi12,tmin,tmax,tmean,humedad
2021-W01,2021,1,2021-01-04,2021-01-04,2021-01-10,,,310.0,2888378,0,0,0.0,0.0,0,0,0,baja,25.2,25.2,51.2,105.3,-0.455,-0.97,-1.467,22.4,28.443,24.886,78.429
2021-W02,2021,2,2021-01-11,2021-01-11,2021-01-17,,,306.0,2888378,0,0,0.0,0.0,0,0,0,baja,40.6,40.6,86.6,145.9,-0.316,-0.857,-1.42,23.514,29.171,25.871,78.429
2021-W03,2021,3,2021-01-18,2021-01-18,2021-01-24,,,374.0,2888378,0,0,0.0,0.0,0,0,0,baja,39.2,39.2,109.8,185.1,-0.318,-0.848,-1.594,23.571,27.829,25.257,83.0
2021-W04,2021,4,2021-01-25,2021-01-25,2021-01-31,,,442.0,2888378,0,0,0.0,0.0,0,0,0,baja,44.3,44.3,149.3,229.1,-0.344,-0.842,-1.567,23.957,27.886,25.571,83.857
2021-W05,2021,5,2021-02-01,2021-02-01,2021-02-07,,,390.0,2888378,0,0,0.0,0.0,0,0,0,baja,12.0,12.0,136.1,241.1,-0.618,-1.031,-1.579,24.086,28.457,25.857,82.857
2021-W06,2021,6,2021-02-08,2021-02-08,2021-02-14,,,482.0,2888378,0,0,0.0,0.0,0,0,0,baja,104.2,104.2,199.7,345.3,-0.41,-0.817,-1.369,24.1,28.543,26.014,84.286
2021-W07,2021,7,2021-02-15,2021-02-15,2021-02-21,,,558.0,2888378,0,0,0.0,0.0,0,0,0,baja,50.6,50.6,211.1,394.6,-0.52,-0.901,-1.428,23.814,28.814,25.914,82.429
2021-W08,2021,8,2021-02-22,2021-02-22,2021-02-28,,,531.0,2888378,0,0,0.0,0.0,0,0,0,baja,2.1,2.1,168.9,396.7,-0.826,-1.168,-1.676,23.771,28.786,25.986,78.857
2021-W09,2021,9,2021-03-01,2021-03-01,2021-03-07,,,713.0,2888378,0,0,0.0,0.0,0,0,0,baja,38.7,38.7,195.6,428.0,-0.972,-1.241,-1.731,23.871,28.1,25.629,83.714
2021-W10,2021,10,2021-03-08,2021-03-08,2021-03-14,,,674.0,2888378,0,0,0.0,0.0,0,0,0,baja,306.4,306.4,397.8,689.3,-0.302,-0.505,-1.297,23.486,28.414,25.329,86.143
