semana_id,anio_epi,semana,fecha_inicio,fecha_fin,casos
2015-W01,2015,1,2015-01-04,2015-01-10,114.0
2015-W02,2015,2,2015-01-11,2015-01-17,164.0
2015-W03,2015,3,2015-01-18,2015-01-24,207.0
2015-W04,2015,4,2015-01-25,2015-01-31,215.0
2015-W05,2015,5,2015-02-01,2015-02-07,255.0
2015-W06,2015,6,2015-02-08,2015-02-14,232.0
2015-W07,2015,7,2015-02-15,2015-02-21,267.0
2015-W08,2015,8,2015-02-22,2015-02-28,397.0
2015-W09,2015,9,2015-03-01,2015-03-07,527.0
2015-W10,2015,10,2015-03-08,2015-03-14,613.0
2015-W11,2015,11,2015-03-15,2015-03-21,902.0
2015-W12,2015,12,2015-03-22,2015-03-28,1022.0
2015-W13,2015,13,2015-03-29,2015-04-04,1281.0
2015-W14,2015,14,2015-04-05,2015-04-11,1766.0
2015-W15,2015,15,2015-04-12,2015-04-18,1878.0
2015-W16,2015,16,2015-04-19,2015-04-25,2066.0
2015-W17,2015,17,2015-04-26,2015-05-02,2046.0
2015-W18,2015,18,2015-05-03,2015-05-09,2777.0
2015-W19,2015,19,2015-05-10,2015-05-16,2771.0
2015-W20,2015,20,2015-05-17,2015-05-23,2961.0
2015-W21,2015,21,2015-05-24,2015-05-30,2734.0
2015-W22,2015,22,2015-05-31,2015-06-06,2953.0
2015-W23,2015,23,2015-06-07,2015-06-13,2447.0
2015-W24,2015,24,2015-06-14,2015-06-20,2064.0
2015-W25,2015,25,2015-06-21,2015-06-27,1743.0
2015-W26,2015,26,2015-06-28,2015-07-04,1360.0
2015-W27,2015,27,2015-07-05,2015-07-11,1179.0
2015-W28,2015,28,2015-07-12,2015-07-18,1080.0
2015-W29,2015,29,2015-07-19,2015-07-25,796.0
2015-W30,2015,30,2015-07-26,2015-08-01,624.0
2015-W31,2015,31,2015-08-02,2015-08-08,435.0
2015-W32,2015,32,2015-08-09,2015-08-15,327.0
2015-W33,2015,33,2015-08-16,2015-08-22,237.0
2015-W34,2015,34,2015-08-23,2015-08-29,88.0
2015-W35,2015,35,2015-08-30,2015-09-05,166.0
2015-W36,2015,36,2015-09-06,2015-09-12,134.0
2015-W37,2015,37,2015-09-13,2015-09-19,163.0
2015-W38,2015,38,2015-09-20,2015-09-26,140.0
2015-W39,2015,39,2015-09-27,2015-10-03,108.0
2015-W40,2015,40,2015-10-04,2015-10-10,104.0
2015-W41,2015,41,2015-10-11,2015-10-17,113.0
2015-W42,2015,42,2015-10-18,2015-10-24,113.0
2015-W43,2015,43,2015-10-25,2015-10-31,79.0
2015-W44,2015,44,2015-11-01,2015-11-07,63.0
2015-W45,2015,45,2015-11-08,2015-11-14,79.0
