semana_id,anio_epi,semana,calendar_start_date,casos_guayas
2013-W03,2013,3,2013-01-20,35.0
2013-W05,2013,5,2013-02-03,103.0
2013-W06,2013,6,2013-02-10,87.0
2013-W07,2013,7,2013-02-17,16.0
2013-W09,2013,9,2013-03-03,20.0
2013-W10,2013,10,2013-03-10,33.0
2013-W11,2013,11,2013-03-17,60.0
2013-W12,2013,12,2013-03-24,54.0
2013-W13,2013,13,2013-03-31,47.0
2013-W14,2013,14,2013-04-07,51.0
2013-W15,2013,15,2013-04-14,71.0
2013-W16,2013,16,2013-04-21,73.0
2013-W17,2013,17,2013-04-28,69.0
2013-W18,2013,18,2013-05-05,67.0
2013-W19,2013,19,2013-05-12,102.0
2013-W20,2013,20,2013-05-19,142.0
2013-W21,2013,21,2013-05-26,87.0
2013-W22,2013,22,2013-06-02,56.0
2013-W23,2013,23,2013-06-09,73.0
2013-W24,2013,24,2013-06-16,54.0
2013-W25,2013,25,2013-06-23,90.0
2013-W27,2013,27,2013-07-07,63.0
2013-W28,2013,28,2013-07-14,41.0
2013-W29,2013,29,2013-07-21,67.0
2013-W30,2013,30,2013-07-28,59.0
2013-W32,2013,32,2013-08-11,39.0
2013-W34,2013,34,2013-08-25,40.0
2013-W37,2013,37,2013-09-15,22.0
2013-W38,2013,38,2013-09-22,10.0
2013-W43,2013,43,2013-10-27,3.0
2017-W52,2017,52,2017-12-31,3.0
2018-W01,2018,1,2018-01-07,3.0
2018-W02,2018,2,2018-01-14,6.0
2018-W03,2018,3,2018-01-21,6.0
2018-W04,2018,4,2018-01-28,6.0
2018-W05,2018,5,2018-02-04,3.0
2018-W06,2018,6,2018-02-11,1.0
2018-W07,2018,7,2018-02-18,6.0
2018-W08,2018,8,2018-02-25,24.0
2018-W09,2018,9,2018-03-04,3.0
2018-W10,2018,10,2018-03-11,6.0
2018-W11,2018,11,2018-03-18,4.0
2018-W12,2018,12,2018-03-25,3.0
2018-W13,2018,13,2018-04-01,4.0
2018-W14,2018,14,2018-04-08,1.0
2018-W15,2018,15,2018-04-15,3.0
2018-W16,2018,16,2018-04-22,3.0
2018-W17,2018,17,2018-04-29,6.0
2018-W18,2018,18,2018-05-06,1.0
2018-W19,2018,19,2018-05-13,1.0
2018-W20,2018,20,2018-05-20,1.0
2018-W21,2018,21,2018-05-27,1.0
2018-W22,2018,22,2018-06-03,3.0
2018-W23,2018,23,2018-06-10,3.0
2018-W24,2018,24,2018-06-17,3.0
2018-W25,2018,25,2018-06-24,1.0
2018-W26,2018,26,2018-07-01,1.0
2018-W27,2018,27,2018-07-08,1.0
2018-W28,2018,28,2018-07-15,3.0
2018-W29,2018,29,2018-07-22,5.0
2018-W30,2018,30,2018-07-29,1.0
2018-W31,2018,31,2018-08-05,3.0
2018-W32,2018,32,2018-08-12,1.0
2018-W33,2018,33,2018-08-19,1.0
2018-W34,2018,34,2018-08-26,1.0
2018-W35,2018,35,2018-09-02,1.0
2018-W36,2018,36,2018-09-09,1.0
2018-W37,2018,37,2018-09-16,1.0
2018-W38,2018,38,2018-09-23,1.0
2018-W39,2018,39,2018-09-30,4.0
2018-W40,2018,40,2018-10-07,1.0
2018-W41,2018,41,2018-10-14,1.0
2018-W42,2018,42,2018-10-21,1.0
2018-W43,2018,43,2018-10-28,1.0
2018-W44,2018,44,2018-11-04,1.0
2018-W45,2018,45,2018-11-11,1.0
2018-W46,2018,46,2018-11-18,1.0
2018-W47,2018,47,2018-11-25,1.0
2018-W48,2018,48,2018-12-02,1.0
2018-W49,2018,49,2018-12-09,1.0
2018-W50,2018,50,2018-12-16,1.0
2018-W51,2018,51,2018-12-23,1.0
2018-W52,2018,52,2018-12-30,3.0
2019-W01,2019,1,2019-01-06,6.0
2019-W02,2019,2,2019-01-13,4.0
2019-W03,2019,3,2019-01-20,3.0
2019-W04,2019,4,2019-01-27,3.0
2019-W05,2019,5,2019-02-03,3.0
2019-W06,2019,6,2019-02-10,3.0
2019-W07,2019,7,2019-02-17,1.0
2019-W08,2019,8,2019-02-24,1.0
2019-W09,2019,9,2019-03-03,6.0
2019-W10,2019,10,2019-03-10,3.0
2019-W11,2019,11,2019-03-17,3.0
2019-W12,2019,12,2019-03-24,3.0
2019-W13,2019,13,2019-03-31,1.0
2019-W14,2019,14,2019-04-07,1.0
2019-W15,2019,15,2019-04-14,6.0
2019-W16,2019,16,2019-04-21,3.0
2019-W17,2019,17,2019-04-28,3.0
2019-W18,2019,18,2019-05-05,6.0
2019-W19,2019,19,2019-05-12,6.0
2019-W20,2019,20,2019-05-19,10.0
2019-W21,2019,21,2019-05-26,3.0
2019-W22,2019,22,2019-06-02,3.0
2019-W23,2019,23,2019-06-09,10.0
2019-W24,2019,24,2019-06-16,10.0
2019-W25,2019,25,2019-06-23,3.0
2019-W26,2019,26,2019-06-30,6.0
2019-W27,2019,27,2019-07-07,10.0
2019-W52,2019,52,2019-12-29,3.0
2020-W01,2020,1,2020-01-05,6.0
2020-W02,2020,2,2020-01-12,11.0
2020-W03,2020,3,2020-01-19,9.0
2020-W04,2020,4,2020-01-26,15.0
2020-W05,2020,5,2020-02-02,14.0
2020-W06,2020,6,2020-02-09,17.0
2020-W07,2020,7,2020-02-16,33.0
2020-W08,2020,8,2020-02-23,45.0
2020-W09,2020,9,2020-03-01,57.0
2020-W10,2020,10,2020-03-08,90.0
2020-W11,2020,11,2020-03-15,43.0
2020-W12,2020,12,2020-03-22,57.0
2020-W13,2020,13,2020-03-29,29.0
2020-W14,2020,14,2020-04-05,30.0
2020-W15,2020,15,2020-04-12,25.0
2020-W16,2020,16,2020-04-19,29.0
2020-W17,2020,17,2020-04-26,28.0
2020-W18,2020,18,2020-05-03,10.0
2020-W19,2020,19,2020-05-10,15.0
2020-W20,2020,20,2020-05-17,21.0
2020-W21,2020,21,2020-05-24,10.0
2020-W22,2020,22,2020-05-31,10.0
2020-W23,2020,23,2020-06-07,30.0
2020-W24,2020,24,2020-06-14,10.0
2020-W25,2020,25,2020-06-21,10.0
2020-W26,2020,26,2020-06-28,21.0
2020-W27,2020,27,2020-07-05,6.0
2020-W28,2020,28,2020-07-12,15.0
2020-W29,2020,29,2020-07-19,10.0
2020-W30,2020,30,2020-07-26,6.0
2020-W31,2020,31,2020-08-02,10.0
2020-W32,2020,32,2020-08-09,6.0
2020-W33,2020,33,2020-08-16,10.0
2020-W34,2020,34,2020-08-23,7.0
2020-W35,2020,35,2020-08-30,15.0
2020-W36,2020,36,2020-09-06,3.0
2020-W37,2020,37,2020-09-13,10.0
2020-W38,2020,38,2020-09-20,6.0
2020-W39,2020,39,2020-09-27,12.0
2020-W40,2020,40,2020-10-04,10.0
