anio,semana_epidemiologica,semana_id,casos_dengue,geografia,tipo,fuente,source_pdf,source_url,page,table,extraction_method,confianza
2026,1,2026-W01,88,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,2,2026-W02,96,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,3,2026-W03,112,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,4,2026-W04,114,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,5,2026-W05,113,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,6,2026-W06,99,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,7,2026-W07,123,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,8,2026-W08,158,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,9,2026-W09,173,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,10,2026-W10,165,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,11,2026-W11,224,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,12,2026-W12,253,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,13,2026-W13,315,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,14,2026-W14,334,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,15,2026-W15,365,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,16,2026-W16,340,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,17,2026-W17,323,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,18,2026-W18,216,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,19,2026-W19,251,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,20,2026-W20,278,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,21,2026-W21,230,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,22,2026-W22,244,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,23,2026-W23,222,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,24,2026-W24,216,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,25,2026-W25,212,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,26,2026-W26,215,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,27,2026-W27,258,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,28,2026-W28,221,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,29,2026-W29,234,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,30,2026-W30,266,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,31,2026-W31,271,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,32,2026-W32,227,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
2026,33,2026-W33,246,Guayas,semanal_no_acumulado,MSP Gaceta ETV SE33-2026 (figura Guayas 2021-2026),ETV_Gaceta_33.pdf,https://www.salud.gob.ec/wp-content/uploads/2026/08/ETV_Gaceta_33.pdf,3,figura_etiquetas_serie_2026,pymupdf_text_labels,B
