provincia,semana_id,anio_epi,semana,calendar_start_date,casos
GUAYAS,2013-W03,2013,3,2013-01-20,35.0
MANABI,2013-W03,2013,3,2013-01-20,4.0
LOS RIOS,2013-W03,2013,3,2013-01-20,8.0
EL ORO,2013-W03,2013,3,2013-01-20,21.0
ESMERALDAS,2013-W03,2013,3,2013-01-20,0.0
CARCHI,2013-W03,2013,3,2013-01-20,0.0
IMBABURA,2013-W03,2013,3,2013-01-20,0.0
PICHINCHA,2013-W03,2013,3,2013-01-20,0.0
BOLIVAR,2013-W03,2013,3,2013-01-20,0.0
COTOPAXI,2013-W03,2013,3,2013-01-20,0.0
TUNGURAHUA,2013-W03,2013,3,2013-01-20,0.0
CHIMBORAZO,2013-W03,2013,3,2013-01-20,0.0
CANAR,2013-W03,2013,3,2013-01-20,6.0
AZUAY,2013-W03,2013,3,2013-01-20,1.0
LOJA,2013-W03,2013,3,2013-01-20,0.0
SUCUMBIOS,2013-W03,2013,3,2013-01-20,76.0
NAPO,2013-W03,2013,3,2013-01-20,2.0
ORELLANA,2013-W03,2013,3,2013-01-20,11.0
PASTAZA,2013-W03,2013,3,2013-01-20,1.0
MORONA SANTIAGO,2013-W03,2013,3,2013-01-20,0.0
ZAMORA CHINCHIPE,2013-W03,2013,3,2013-01-20,0.0
GUAYAS,2013-W05,2013,5,2013-02-03,103.0
MANABI,2013-W05,2013,5,2013-02-03,39.0
LOS RIOS,2013-W05,2013,5,2013-02-03,41.0
EL ORO,2013-W05,2013,5,2013-02-03,36.0
ESMERALDAS,2013-W05,2013,5,2013-02-03,8.0
CARCHI,2013-W05,2013,5,2013-02-03,0.0
IMBABURA,2013-W05,2013,5,2013-02-03,0.0
PICHINCHA,2013-W05,2013,5,2013-02-03,4.0
CANAR,2013-W05,2013,5,2013-02-03,3.0
AZUAY,2013-W05,2013,5,2013-02-03,0.0
LOJA,2013-W05,2013,5,2013-02-03,0.0
SUCUMBIOS,2013-W05,2013,5,2013-02-03,46.0
NAPO,2013-W05,2013,5,2013-02-03,1.0
PASTAZA,2013-W05,2013,5,2013-02-03,0.0
MORONA SANTIAGO,2013-W05,2013,5,2013-02-03,1.0
ZAMORA CHINCHIPE,2013-W05,2013,5,2013-02-03,0.0
GUAYAS,2013-W06,2013,6,2013-02-10,87.0
MANABI,2013-W06,2013,6,2013-02-10,26.0
LOS RIOS,2013-W06,2013,6,2013-02-10,29.0
EL ORO,2013-W06,2013,6,2013-02-10,25.0
ESMERALDAS,2013-W06,2013,6,2013-02-10,2.0
CARCHI,2013-W06,2013,6,2013-02-10,0.0
PICHINCHA,2013-W06,2013,6,2013-02-10,2.0
BOLIVAR,2013-W06,2013,6,2013-02-10,0.0
COTOPAXI,2013-W06,2013,6,2013-02-10,2.0
TUNGURAHUA,2013-W06,2013,6,2013-02-10,0.0
CHIMBORAZO,2013-W06,2013,6,2013-02-10,2.0
CANAR,2013-W06,2013,6,2013-02-10,0.0
AZUAY,2013-W06,2013,6,2013-02-10,0.0
LOJA,2013-W06,2013,6,2013-02-10,2.0
SUCUMBIOS,2013-W06,2013,6,2013-02-10,34.0
NAPO,2013-W06,2013,6,2013-02-10,4.0
ORELLANA,2013-W06,2013,6,2013-02-10,4.0
PASTAZA,2013-W06,2013,6,2013-02-10,1.0
MORONA SANTIAGO,2013-W06,2013,6,2013-02-10,0.0
ZAMORA CHINCHIPE,2013-W06,2013,6,2013-02-10,0.0
GUAYAS,2013-W07,2013,7,2013-02-17,16.0
MANABI,2013-W07,2013,7,2013-02-17,35.0
LOS RIOS,2013-W07,2013,7,2013-02-17,59.0
EL ORO,2013-W07,2013,7,2013-02-17,23.0
CARCHI,2013-W07,2013,7,2013-02-17,0.0
IMBABURA,2013-W07,2013,7,2013-02-17,1.0
PICHINCHA,2013-W07,2013,7,2013-02-17,0.0
BOLIVAR,2013-W07,2013,7,2013-02-17,0.0
COTOPAXI,2013-W07,2013,7,2013-02-17,0.0
CHIMBORAZO,2013-W07,2013,7,2013-02-17,0.0
CANAR,2013-W07,2013,7,2013-02-17,5.0
AZUAY,2013-W07,2013,7,2013-02-17,0.0
LOJA,2013-W07,2013,7,2013-02-17,2.0
SUCUMBIOS,2013-W07,2013,7,2013-02-17,32.0
NAPO,2013-W07,2013,7,2013-02-17,4.0
ORELLANA,2013-W07,2013,7,2013-02-17,4.0
PASTAZA,2013-W07,2013,7,2013-02-17,0.0
MORONA SANTIAGO,2013-W07,2013,7,2013-02-17,5.0
ZAMORA CHINCHIPE,2013-W07,2013,7,2013-02-17,0.0
GUAYAS,2013-W09,2013,9,2013-03-03,20.0
MANABI,2013-W09,2013,9,2013-03-03,17.0
LOS RIOS,2013-W09,2013,9,2013-03-03,59.0
EL ORO,2013-W09,2013,9,2013-03-03,25.0
ESMERALDAS,2013-W09,2013,9,2013-03-03,3.0
CARCHI,2013-W09,2013,9,2013-03-03,0.0
IMBABURA,2013-W09,2013,9,2013-03-03,1.0
PICHINCHA,2013-W09,2013,9,2013-03-03,0.0
BOLIVAR,2013-W09,2013,9,2013-03-03,2.0
COTOPAXI,2013-W09,2013,9,2013-03-03,1.0
TUNGURAHUA,2013-W09,2013,9,2013-03-03,0.0
CHIMBORAZO,2013-W09,2013,9,2013-03-03,1.0
CANAR,2013-W09,2013,9,2013-03-03,5.0
AZUAY,2013-W09,2013,9,2013-03-03,17.0
LOJA,2013-W09,2013,9,2013-03-03,2.0
SUCUMBIOS,2013-W09,2013,9,2013-03-03,0.0
NAPO,2013-W09,2013,9,2013-03-03,1.0
ORELLANA,2013-W09,2013,9,2013-03-03,10.0
PASTAZA,2013-W09,2013,9,2013-03-03,0.0
MORONA SANTIAGO,2013-W09,2013,9,2013-03-03,6.0
ZAMORA CHINCHIPE,2013-W09,2013,9,2013-03-03,1.0
GUAYAS,2013-W10,2013,10,2013-03-10,33.0
MANABI,2013-W10,2013,10,2013-03-10,41.0
LOS RIOS,2013-W10,2013,10,2013-03-10,59.0
EL ORO,2013-W10,2013,10,2013-03-10,39.0
ESMERALDAS,2013-W10,2013,10,2013-03-10,10.0
CARCHI,2013-W10,2013,10,2013-03-10,1.0
IMBABURA,2013-W10,2013,10,2013-03-10,2.0
PICHINCHA,2013-W10,2013,10,2013-03-10,1.0
BOLIVAR,2013-W10,2013,10,2013-03-10,3.0
COTOPAXI,2013-W10,2013,10,2013-03-10,0.0
TUNGURAHUA,2013-W10,2013,10,2013-03-10,0.0
CHIMBORAZO,2013-W10,2013,10,2013-03-10,0.0
CANAR,2013-W10,2013,10,2013-03-10,9.0
AZUAY,2013-W10,2013,10,2013-03-10,5.0
LOJA,2013-W10,2013,10,2013-03-10,2.0
SUCUMBIOS,2013-W10,2013,10,2013-03-10,0.0
NAPO,2013-W10,2013,10,2013-03-10,2.0
ORELLANA,2013-W10,2013,10,2013-03-10,4.0
PASTAZA,2013-W10,2013,10,2013-03-10,0.0
MORONA SANTIAGO,2013-W10,2013,10,2013-03-10,0.0
ZAMORA CHINCHIPE,2013-W10,2013,10,2013-03-10,0.0
GUAYAS,2013-W11,2013,11,2013-03-17,60.0
MANABI,2013-W11,2013,11,2013-03-17,57.0
LOS RIOS,2013-W11,2013,11,2013-03-17,52.0
EL ORO,2013-W11,2013,11,2013-03-17,32.0
ESMERALDAS,2013-W11,2013,11,2013-03-17,15.0
SANTA ELENA,2013-W11,2013,11,2013-03-17,4.0
GALAPAGOS,2013-W11,2013,11,2013-03-17,0.0
