provincia,casos_acumulados_SE28_2026,incidencia_por_100k,region,notas
Manabi,6454,355.74,Costa,Mayor numero absoluto de casos del pais
Guayas,5909,intermedia,Costa,2do en casos; incluye Guayaquil (carga alta) - SITIO PILOTO
Los Rios,3003,320.07,Costa,3ro en casos
Napo,538,379.74,Amazonia,2da incidencia mas alta del pais
Orellana,403,197.32,Amazonia,
Sucumbios,285,145.20,Amazonia,
Galapagos,284,1011.56,Insular,Incidencia mas alta por poblacion pequena; brote inusual 2026
Morona Santiago,209,intermedia,Amazonia,
Pastaza,100,intermedia,Amazonia,
Santo Domingo,n/d,253.79,Costa/Sierra,Alta incidencia
Santa Elena,n/d,235.08,Costa,Alta incidencia
Esmeraldas,n/d,152.23,Costa,
El Oro,553,intermedia,Costa,"Hasta SE19; 'zona de seguridad'; Machala 72.5% (parroquias La Providencia y Jambeli), luego Huaquillas"
TOTAL_NACIONAL,23306,n/d,,"SE28 corte 18-jul-2026; 25 fallecidos; -23.31% vs 2025. Clinico: 84.99% sin senales (19808), 14.16% con senales (3301), 0.85% grave (197). A mediados de agosto (SE32) subio a 28652 casos y 35 fallecidos"
