variable,disponible,NA,cobertura_pct
semana_id,295,0,100.0
anio_epi,295,0,100.0
semana,295,0,100.0
fecha_lunes,295,0,100.0
fecha_inicio,295,0,100.0
fecha_fin,295,0,100.0
casos_dengue,33,262,11.2
casos_unidad,33,262,11.2
casos_dengue_nacional,156,139,52.9
poblacion,295,0,100.0
corte_hn,295,0,100.0
n_eventos_corte,295,0,100.0
horas_corte,295,0,100.0
intensidad_corte,295,0,100.0
horas_corte_incompleta,295,0,100.0
almacenar,295,0,100.0
n_sectores,295,0,100.0
corte_reporte_confiable,295,0,100.0
precipitacion_mm,295,0,100.0
precip_7d,295,0,100.0
precip_30d,295,0,100.0
precip_90d,295,0,100.0
spi3,295,0,100.0
spi6,295,0,100.0
spi12,295,0,100.0
tmin,295,0,100.0
tmax,295,0,100.0
tmean,295,0,100.0
humedad,295,0,100.0
