lag,resid_medio,null_lo95,null_hi95,fuera_de_banda_null
0,-54.33499537881684,-48.00436895685953,18.9251930415321,True
1,-60.02240089676677,-48.581642394748776,18.081705938743433,True
2,-49.74780393649821,-48.21526395060719,15.801168371756997,True
3,-33.173095643388315,-48.14963107126411,16.368717644512262,False
4,-32.21516610129683,-51.02481884335994,15.063322952364366,False
5,-55.2223864255817,-50.046820603702336,15.298953935759718,True
6,-41.19850639017756,-52.29650439031252,16.0264955293222,False
7,-29.30473188231356,-52.721551765663115,13.356784143202924,False
8,-39.76578650480897,-53.29825758661162,13.824821784382479,False
9,-24.77978570709029,-54.87930124913815,12.375669467273138,False
10,-39.053515432705304,-54.25838690020652,12.727242182449556,False
11,-39.88920252958426,-53.3600198846691,14.611117211194316,False
12,-38.18441093042276,-50.8311660699257,13.78687870350688,False
13,-36.34077295495867,-52.59709510060855,15.012135299376439,False
14,-19.727942927998132,-53.07739730689581,13.162246500950362,False
15,-37.355764743600666,-49.13211650690093,14.802363166125104,False
16,-51.21719530110835,-46.5421127274947,15.973848452168964,True
17,-10.169936477886012,-49.574077672948,15.922487152822875,False
18,-36.747890619282536,-46.72325884804902,13.908011806539308,False
19,-52.86901965520608,-49.38015097146864,17.21756720612645,True
20,-15.61296107850842,-44.88859273335884,16.367871477683735,False
