modelo,MAE,RMSE,Deviance,LogScore,precision_alto,recall_alto,F1_alto,AUC_alto,N,n_params,familia,overdisp_train,alpha_nb,N_train,observaciones
NAT|baseline_media,194.1841715976332,226.18746663524448,6032.80757999129,-62.05675893369606,,0.0,,0.5,52,1.0,,,,,
NAT|baseline_naive,304.96153846153845,331.0350318435986,16665.086196017528,-164.2902071647177,,0.0,,0.5,52,1.0,,,,,
NAT|E1_corte_hn,215.8409558771971,263.2191088367798,9770.914454471507,-98.00009426523674,,0.0,,0.358974358974359,52,3.0,nb,96.63169725633033,0.2623462374144823,104.0,
NAT|E2_horas,150.23195029082964,181.45673402061428,3597.8112451355123,-38.643332637006004,,0.0,,0.47534516765286,52,3.0,nb,99.48089609306234,0.27016243869405426,104.0,
NAT|E3_corte_clima,297.1769912187346,340.6070971800094,18140.902759828874,-178.48075104751908,0.0,0.0,,0.26429980276134124,52,9.0,nb,5.9211618127366865,0.012698220175732862,104.0,
NAT|E4_dlnm_corte,345.1229296732306,371.4121339282993,18145.726563135635,-178.52713377162266,0.0,0.0,,0.29783037475345164,52,10.0,nb,4.334109306816224,0.00964670349954653,84.0,
NAT|E5_dlnm_clima,288.0931604653941,317.80797230092725,11018.921245941581,-110.00015956783358,0.1,0.15384615384615385,0.12121212121212123,0.3353057199211046,52,14.0,nb,4.02139736972564,0.008269385982201798,84.0,
NAT|E6_completo,402.67176775223743,432.16903613047356,33951.01962048907,-330.50110547694396,0.0,0.0,,0.24852071005917162,52,19.0,nb,3.6678134050662203,0.006780101318787675,84.0,
NAT|B4_clima_time,327.42190932446005,368.32337040523794,23915.074760788182,-234.00163567212778,0.0,0.0,,0.22090729783037477,52,9.0,nb,5.380718057513913,0.011303697081886915,104.0,
NAT|B5_cortes_time,285.6357626142844,326.09743105101876,15949.28361188809,-157.4074900096269,0.0,0.0,,0.272189349112426,52,8.0,nb,5.965780305950029,0.01294822797542449,104.0,
NAT|HYP_clima,288.0931604653941,317.80797230092725,11018.921245941581,-110.00015956783358,0.1,0.15384615384615385,0.12121212121212123,0.3353057199211046,52,14.0,nb,4.02139736972564,0.008269385982201798,84.0,
NAT|HYP_clima_cortes,393.6390907264892,424.56176923895197,34093.996136348105,-331.8758796678963,0.0,0.0,,0.26429980276134124,52,18.0,nb,3.8264710076451176,0.007293833535525012,84.0,
NAT|B6_random_forest,212.28169969280492,254.40348371313368,8291.3640636942,-83.77364820007031,,0.0,,0.368836291913215,52,200.0,,,,,
GYA|baseline_media,31.685185185185173,36.874876484878335,35.730157549171906,-6.6442433447888805,,0.0,,0.5,6,1.0,,,,,
GYA|baseline_naive,20.833333333333332,23.391593931723992,13.2254730418531,-4.768852969178852,,0.0,,0.5,6,1.0,,,,,
GYA|E1_corte_hn,32.38459187340292,37.47755790286275,36.997609518211874,-6.749864342208791,,0.0,,0.5,6,2.0,nb,32.70420343042551,0.13815331231892533,27.0,
GYA|E2_horas,34.17701964410862,39.036831676115085,40.39220837673634,-7.032747580419112,,0.0,,0.5,6,2.0,nb,32.21296419714844,0.13601605454567933,27.0,
GYA|E3_corte_clima,,,,,,,,,6,,,,,,N insuficiente
GYA|E4_dlnm_corte,,,,,,,,,6,,,,,,N insuficiente
GYA|E5_dlnm_clima,,,,,,,,,6,,,,,,N insuficiente
GYA|E6_completo,,,,,,,,,6,,,,,,N insuficiente
GYA|B4_clima_time,,,,,,,,,6,,,,,,N insuficiente
GYA|B5_cortes_time,,,,,,,,,6,,,,,,N insuficiente
GYA|HYP_clima,,,,,,,,,6,,,,,,N insuficiente
GYA|HYP_clima_cortes,,,,,,,,,6,,,,,,N insuficiente
GYA|B6_random_forest,13.700361111111116,18.042337765360465,8.09199201182114,-4.3410628833428575,,0.0,,0.5,6,200.0,,,,,
