semana_id,fecha_lunes,casos_obs,casos_pred_ar1,n_regla_a,barrios_a
2023-W01,2023-01-02,256.0,217.86687162544732,0,
2023-W02,2023-01-09,264.0,231.62142919469568,0,
2023-W03,2023-01-16,340.0,237.0867719646497,0,
2023-W04,2023-01-23,365.0,295.88905157743073,0,
2023-W05,2023-01-30,368.0,318.25902557147,0,
2023-W06,2023-02-06,455.0,321.0546383866389,0,
2023-W07,2023-02-13,485.0,413.73982592407316,0,
2023-W08,2023-02-20,475.0,451.5538265681513,0,
2023-W09,2023-02-27,444.0,438.579970244328,0,
2023-W10,2023-03-06,478.0,400.68263475670346,0,
2023-W11,2023-03-13,495.0,442.4324918910899,0,
2023-W12,2023-03-20,469.0,464.9114691096112,0,
2023-W13,2023-03-27,379.0,430.97527340482605,0,
2023-W14,2023-04-03,342.0,331.5169629920733,0,
2023-W15,2023-04-10,439.0,297.6192667854939,0,
2023-W16,2023-04-17,398.0,394.88456105283535,0,
2023-W17,2023-04-24,416.0,350.39762047839565,0,
2023-W18,2023-05-01,418.0,369.27547715081005,0,
2023-W19,2023-05-08,531.0,371.43482046927716,0,
2023-W20,2023-05-15,494.0,516.355609712121,0,
2023-W21,2023-05-22,576.0,463.5581135158169,0,
2023-W22,2023-05-29,566.0,588.7381772017903,0,
2023-W23,2023-06-05,541.0,571.8227972980993,0,
2023-W24,2023-06-12,600.0,531.6301866351694,0,
2023-W25,2023-06-19,669.0,631.4049154696967,0,
2023-W26,2023-06-26,662.0,772.0883820775431,0,
2023-W27,2023-07-03,753.0,756.4922867311177,0,
2023-W28,2023-07-10,721.0,986.3184935053873,0,
2023-W29,2023-07-17,752.0,898.4684473621279,0,
2023-W30,2023-07-24,645.0,983.4473239620653,0,
2023-W31,2023-07-31,694.0,719.9150585719935,0,
2023-W32,2023-08-07,667.0,830.4602513173725,0,
2023-W33,2023-08-14,702.0,767.5998317391584,0,
2023-W34,2023-08-21,715.0,850.0558040520724,0,
2023-W35,2023-08-28,671.0,882.8895777702478,0,
2023-W36,2023-09-04,718.0,776.6031792743898,0,
2023-W37,2023-09-11,664.0,890.6449506573532,0,
2023-W38,2023-09-18,692.0,760.9158855506993,0,
2023-W39,2023-09-25,678.0,825.6323550187188,0,
2023-W40,2023-10-02,622.0,792.6138874372418,0,
2023-W41,2023-10-09,609.0,673.2270718648231,0,
2023-W42,2023-10-16,643.0,648.190435466437,0,
2023-W43,2023-10-23,551.0,715.7298188316084,0,
2023-W44,2023-10-30,580.0,547.3566085576517,0,
2023-W45,2023-11-06,584.0,595.6436169862112,0,
2023-W46,2023-11-13,589.0,602.6300521951907,0,
2023-W47,2023-11-20,527.0,611.4784443670136,0,
2023-W48,2023-11-27,497.0,510.3693748754971,2,Fuerte Militar Huancavilca (Quinto Guayas);km9.5 via Daule
2023-W49,2023-12-04,413.0,467.6300451771213,2,Fuerte Militar Huancavilca (Quinto Guayas);km9.5 via Daule
2023-W50,2023-12-11,579.0,366.05997694362355,0,
2023-W51,2023-12-18,412.0,593.9097005859555,0,
2023-W52,2023-12-25,475.0,364.9943776835975,0,
